0,3,17,1
0,3,18,1
0,4,0,1
0,4,1,1
0,4,15,1
0,4,16,1
0,4,17,1
0,4,18,1
0,5,1,1
0,5,2,1
0,5,3,1
0,5,4,1
0,5,12,1
0,5,13,1
0,5,14,1
0,5,15,1
0,6,4,1
0,6,5,1
0,6,6,1
0,6,7,1
0,6,8,1
0,6,9,1
0,6,10,1
0,6,11,1
0,6,12,1
1,4,0,1
1,4,1,1
1,4,2,1
1,4,16,1
1,4,17,1
1,4,18,1
1,5,1,1
1,5,2,1
1,5,3,1
1,5,4,1
1,5,13,1
1,5,14,1
1,5,15,1
1,5,16,1
1,6,4,1
1,6,5,1
1,6,6,1
1,6,7,1
1,6,8,1
1,6,9,1
1,6,10,1
1,6,11,1
1,6,12,1
1,6,13,1
2,3,0,1
2,4,0,1
2,4,1,1
2,4,2,1
2,4,16,1
2,4,17,1
2,4,18,1
2,5,2,1
2,5,3,1
2,5,4,1
2,5,5,1
2,5,13,1
2,5,14,1
2,5,15,1
2,5,16,1
2,5,17,1
2,6,5,1
2,6,6,1
2,6,7,1
2,6,8,1
2,6,9,1
2,6,10,1
2,6,11,1
2,6,12,1
2,6,13,1
2,6,14,1
3,3,0,1
3,4,0,1
3,4,1,1
3,4,2,1
3,4,17,1
3,4,18,1
3,5,2,1
3,5,3,1
3,5,4,1
3,5,5,1
3,5,14,1
3,5,15,1
3,5,16,1
3,5,17,1
3,6,5,1
3,6,6,1
3,6,7,1
3,6,8,1
3,6,9,1
3,6,10,1
3,6,11,1
3,6,12,1
3,6,13,1
3,6,14,1
4,3,0,1
4,3,1,1
4,4,1,1
4,4,2,1
4,4,3,1
4,4,17,1
4,4,18,1
4,5,3,1
4,5,4,1
4,5,5,1
4,5,6,1
4,5,14,1
4,5,15,1
4,5,16,1
4,5,17,1
4,6,6,1
4,6,7,1
4,6,8,1
4,6,9,1
4,6,10,1
4,6,11,1
4,6,12,1
4,6,13,1
4,6,14,1
4,6,15,1
5,3,0,1
5,3,1,1
5,4,1,1
5,4,2,1
5,4,3,1
5,4,18,1
5,5,3,1
5,5,4,1
5,5,5,1
5,5,6,1
5,5,15,1
5,5,16,1
5,5,17,1
5,5,18,1
5,6,6,1
5,6,7,1
5,6,8,1
5,6,9,1
5,6,10,1
5,6,11,1
5,6,12,1
5,6,13,1
5,6,14,1
5,6,15,1
6,2,0,1
6,3,0,1
6,3,1,1
6,3,2,1
6,4,2,1
6,4,3,1
6,4,4,1
6,5,4,1
6,5,5,1
6,5,6,1
6,5,7,1
6,5,15,1
6,5,16,1
6,5,17,1
6,5,18,1
6,6,7,1
6,6,8,1
6,6,9,1
6,6,10,1
6,6,11,1
6,6,12,1
6,6,13,1
6,6,14,1
6,6,15,1
7,2,0,1
7,3,0,1
7,3,1,1
7,3,2,1
7,4,2,1
7,4,3,1
7,4,4,1
7,5,4,1
7,5,5,1
7,5,6,1
7,5,7,1
7,5,15,1
7,5,16,1
7,5,17,1
7,5,18,1
7,6,7,1
7,6,8,1
7,6,9,1
7,6,10,1
7,6,11,1
7,6,12,1
7,6,13,1
7,6,14,1
7,6,15,1
8,1,0,1
8,2,0,1
8,2,1,1
8,3,1,1
8,3,2,1
8,3,3,1
8,4,3,1
8,4,4,1
8,4,5,1
8,5,5,1
8,5,6,1
8,5,7,1
8,5,8,1
8,5,15,1
8,5,16,1
8,5,17,1
8,5,18,1
8,6,8,1
8,6,9,1
8,6,10,1
8,6,11,1
8,6,12,1
8,6,13,1
8,6,14,1
8,6,15,1
9,1,0,1
9,2,0,1
9,2,1,1
9,3,2,1
9,3,3,1
9,4,3,1
9,4,4,1
9,4,5,1
