0,0,0,1
0,0,1,1
0,0,2,1
0,0,3,1
0,1,0,1
0,1,1,1
1,0,1,1
1,0,2,1
1,0,3,1
1,0,4,1
1,0,5,1
1,0,17,1
1,0,18,1
1,1,0,1
1,1,1,1
1,1,2,1
1,2,0,1
2,0,3,1
2,0,4,1
2,0,5,1
2,0,6,1
2,0,7,1
2,0,8,1
2,0,14,1
2,0,15,1
2,0,16,1
2,0,17,1
2,0,18,1
2,1,1,1
2,1,2,1
2,1,3,1
2,1,4,1
2,2,0,1
2,2,1,1
2,2,2,1
2,3,0,1
3,0,4,1
3,0,5,1
3,0,6,1
3,0,7,1
3,0,8,1
3,0,9,1
3,0,10,1
3,0,11,1
3,0,12,1
3,0,13,1
3,0,14,1
3,0,15,1
3,0,16,1
3,0,17,1
3,0,18,1
3,1,2,1
3,1,3,1
3,1,4,1
3,1,5,1
3,1,6,1
3,1,16,1
3,1,17,1
3,1,18,1
3,2,0,1
3,2,1,1
3,2,2,1
3,2,3,1
3,3,0,1
3,3,1,1
4,0,6,1
4,0,7,1
4,0,8,1
4,0,9,1
4,0,10,1
4,0,11,1
4,0,12,1
4,0,13,1
4,0,14,1
4,0,15,1
4,0,16,1
4,1,3,1
4,1,4,1
4,1,5,1
4,1,6,1
4,1,7,1
4,1,8,1
4,1,9,1
4,1,10,1
4,1,12,1
4,1,13,1
4,1,14,1
4,1,15,1
4,1,16,1
4,1,17,1
4,1,18,1
4,2,1,1
4,2,2,1
4,2,3,1
4,2,4,1
4,2,5,1
4,3,0,1
4,3,1,1
4,3,2,1
4,4,0,1
5,0,11,1
5,1,5,1
5,1,6,1
5,1,7,1
5,1,8,1
5,1,9,1
5,1,10,1
5,1,11,1
5,1,12,1
5,1,13,1
5,1,14,1
5,1,15,1
5,1,16,1
5,1,17,1
5,2,2,1
5,2,3,1
5,2,4,1
5,2,5,1
5,2,6,1
5,2,7,1
5,2,15,1
5,2,16,1
5,2,17,1
5,2,18,1
5,3,0,1
5,3,1,1
5,3,2,1
5,3,3,1
5,3,4,1
5,4,0,1
5,4,1,1
6,1,8,1
6,1,9,1
6,1,10,1
6,1,11,1
6,1,12,1
6,1,13,1
6,1,14,1
6,1,15,1
6,2,4,1
6,2,5,1
6,2,6,1
6,2,7,1
6,2,8,1
6,2,9,1
6,2,10,1
6,2,11,1
6,2,12,1
6,2,13,1
6,2,14,1
6,2,15,1
6,2,16,1
6,2,17,1
6,2,18,1
6,3,2,1
6,3,3,1
6,3,4,1
6,3,5,1
6,3,6,1
6,3,17,1
6,3,18,1
6,4,0,1
6,4,1,1
6,4,2,1
6,4,3,1
6,5,0,1
6,5,1,1
7,2,6,1
7,2,7,1
7,2,8,1
7,2,9,1
7,2,10,1
7,2,11,1
7,2,12,1
7,2,13,1
7,2,14,1
7,2,15,1
7,2,16,1
7,2,17,1
7,3,3,1
7,3,4,1
7,3,5,1
7,3,6,1
7,3,7,1
7,3,8,1
7,3,9,1
7,3,14,1
7,3,15,1
7,3,16,1
7,3,17,1
7,3,18,1
7,4,1,1
7,4,2,1
7,4,3,1
7,4,4,1
7,5,0,1
7,5,1,1
7,5,2,1
7,6,0,1
8,2,10,1
8,2,11,1
8,2,12,1
8,2,13,1
8,3,5,1
8,3,6,1
8,3,7,1
8,3,8,1
8,3,9,1
8,3,10,1
8,3,11,1
8,3,12,1
8,3,13,1
8,3,14,1
8,3,15,1
8,3,16,1
8,3,17,1
8,3,18,1
8,4,2,1
8,4,3,1
8,4,4,1
8,4,5,1
8,4,6,1
8,4,7,1
8,4,17,1
8,4,18,1
8,5,0,1
