0,10,0,1
0,10,1,1
0,10,3,1
0,10,4,1
0,10,5,1
0,10,6,1
0,10,7,1
0,10,8,1
0,10,9,1
0,10,10,1
0,10,11,1
0,10,12,1
0,10,13,1
0,11,0,1
0,11,1,1
0,11,2,1
0,11,3,1
0,11,4,1
0,11,5,1
0,11,6,1
0,11,7,1
0,11,8,1
0,11,9,1
0,11,10,1
0,11,11,1
0,11,12,1
0,11,13,1
0,11,14,1
0,11,15,1
0,11,16,1
0,11,17,1
0,12,17,1
1,10,0,1
1,10,1,1
1,10,2,1
1,10,3,1
1,10,4,1
1,10,5,1
1,10,6,1
1,10,7,1
1,10,8,1
1,10,9,1
1,10,10,1
1,10,11,1
1,10,12,1
1,10,13,1
1,10,14,1
1,10,15,1
1,10,16,1
1,10,17,1
1,11,14,1
1,11,15,1
1,11,16,1
1,11,17,1
1,11,18,1
2,9,0,1
2,9,1,1
2,9,2,1
2,9,3,1
2,9,4,1
2,9,5,1
2,9,6,1
2,9,7,1
2,9,8,1
2,9,9,1
2,9,10,1
2,9,11,1
2,9,12,1
2,9,13,1
2,9,14,1
2,9,15,1
2,10,14,1
2,10,15,1
2,10,16,1
2,10,17,1
2,10,18,1
3,8,0,1
3,8,1,1
3,8,2,1
3,8,3,1
3,8,4,1
3,8,5,1
3,8,6,1
3,8,7,1
3,8,8,1
3,8,9,1
3,8,10,1
3,8,11,1
3,8,12,1
3,8,13,1
3,8,14,1
3,9,0,1
3,9,3,1
3,9,4,1
3,9,6,1
3,9,9,1
3,9,10,1
3,9,11,1
3,9,13,1
3,9,14,1
3,9,15,1
3,9,16,1
3,9,17,1
3,10,18,1
4,7,0,1
4,7,1,1
4,7,2,1
4,7,3,1
4,7,4,1
4,7,5,1
4,7,6,1
4,7,7,1
4,7,8,1
4,7,9,1
4,7,10,1
4,7,11,1
4,7,12,1
4,7,13,1
4,7,14,1
4,8,2,1
4,8,5,1
4,8,8,1
4,8,9,1
4,8,12,1
4,8,13,1
4,8,14,1
4,8,15,1
4,8,16,1
4,8,17,1
4,9,18,1
5,6,0,1
5,6,1,1
5,6,2,1
5,6,3,1
5,6,4,1
5,6,5,1
5,6,6,1
5,6,7,1
5,6,8,1
5,6,9,1
5,6,10,1
5,6,11,1
5,7,0,1
5,7,2,1
5,7,3,1
5,7,6,1
5,7,7,1
5,7,9,1
5,7,10,1
5,7,11,1
5,7,12,1
5,7,13,1
5,7,14,1
5,7,15,1
5,7,16,1
5,7,17,1
5,8,15,1
5,8,16,1
5,8,17,1
5,8,18,1
6,5,0,1
6,5,1,1
6,5,2,1
6,5,3,1
6,5,4,1
6,5,5,1
6,5,6,1
6,5,7,1
6,5,8,1
6,5,10,1
6,5,11,1
6,5,12,1
6,5,13,1
6,6,0,1
6,6,3,1
6,6,4,1
6,6,7,1
6,6,8,1
6,6,9,1
6,6,10,1
6,6,11,1
6,6,12,1
6,6,13,1
6,6,14,1
6,6,15,1
6,6,16,1
6,7,16,1
6,7,17,1
6,7,18,1
7,4,0,1
7,4,1,1
7,4,2,1
7,4,3,1
7,4,4,1
7,4,5,1
7,4,6,1
7,4,7,1
7,4,8,1
7,4,9,1
7,5,4,1
7,5,8,1
7,5,9,1
7,5,10,1
7,5,11,1
7,5,12,1
7,5,13,1
7,5,14,1
7,5,15,1
7,5,16,1
7,5,17,1
7,6,14,1
7,6,15,1
7,6,16,1
7,6,17,1
7,6,18,1
8,2,4,1
8,3,0,1
8,3,1,1
8,3,2,1
8,3,3,1
8,3,4,1
8,3,5,1
8,3,6,1
8,3,7,1
8,3,8,1
8,3,9,1
8,3,10,1
8,4,9,1
8,4,10,1
8,4,11,1
8,4,12,1
8,4,13,1
8,4,14,1
8,4,15,1
8,4,16,1
8,5,16,1
8,5,17,1
8,5,18,1
9,1,2,1
9,1,3,1
9,1,4,1
9,2,0,1
9,2,1,1
9,2,2,1
9,2,4,1
9,2,5,1
9,2,6,1
9,2,7,1
9,2,8,1
9,2,9,1
9,2,10,1
9,2,11,1
9,2,12,1
9,3,10,1
9,3,11,1
9,3,12,1
9,3,13,1
9,3,14,1
9,4,14,1
9,4,15,1
9,4,16,1
9,4,17,1
9,4,18,1
10,0,1,1
10,0,2,1
10,0,3,1
10,1,0,1
10,1,1,1
10,1,4,1
10,1,5,1
10,1,6,1
10,1,7,1
10,1,8,1
10,1,9,1
10,1,10,1
10,1,11,1
10,2,11,1
10,2,12,1
10,2,13,1
10,2,14,1
10,2,15,1
10,2,16,1
10,3,13,1
10,3,14,1
10,3,15,1
10,3,16,1
10,3,17,1
10,3,18,1
10,4,17,1
11,0,4,1
11,0,5,1
11,0,6,1
11,0,7,1
11,0,8,1
11,0,9,1
11,0,10,1
11,1,10,1
11,1,11,1
11,1,12,1
11,1,13,1
11,1,14,1
11,1,15,1
11,2,15,1
11,2,16,1
11,2,17,1
11,2,18,1
12,0,9,1
12,0,10,1
12,0,11,1
12,0,12,1
12,0,13,1
12,1,14,1
12,1,15,1
12,1,16,1
12,1,17,1
12,2,17,1
12,2,18,1
13,0,13,1
13,0,14,1
13,0,15,1
13,0,16,1
13,1,16,1
13,1,17,1
13,1,18,1
14,0,15,1
14,0,16,1
14,0,17,1
