0,0,13,1
0,0,14,1
0,0,15,1
0,1,11,1
0,1,12,1
0,1,13,1
0,1,14,1
0,2,9,1
0,2,10,1
0,2,11,1
0,2,12,1
0,3,6,1
0,3,7,1
0,3,8,1
0,3,9,1
0,3,10,1
0,4,3,1
0,4,4,1
0,4,5,1
0,4,6,1
0,4,7,1
0,5,0,1
0,5,1,1
0,5,2,1
0,5,3,1
0,5,4,1
0,6,0,1
1,0,14,1
1,0,15,1
1,0,16,1
1,1,12,1
1,1,13,1
1,1,14,1
1,2,10,1
1,2,11,1
1,2,12,1
1,3,8,1
1,3,9,1
1,3,10,1
1,3,11,1
1,4,5,1
1,4,6,1
1,4,7,1
1,4,8,1
1,5,1,1
1,5,2,1
1,5,3,1
1,5,4,1
1,5,5,1
1,5,6,1
1,6,0,1
1,6,1,1
1,6,2,1
1,6,3,1
2,0,14,1
2,0,15,1
2,0,16,1
2,1,13,1
2,1,14,1
2,1,15,1
2,2,11,1
2,2,12,1
2,2,13,1
2,3,9,1
2,3,10,1
2,3,11,1
2,4,6,1
2,4,7,1
2,4,8,1
2,4,9,1
2,5,3,1
2,5,4,1
2,5,5,1
2,5,6,1
2,5,7,1
2,6,0,1
2,6,1,1
2,6,2,1
2,6,3,1
2,6,4,1
2,7,0,1
3,0,15,1
3,0,16,1
3,0,17,1
3,1,13,1
3,1,14,1
3,1,15,1
3,2,12,1
3,2,13,1
3,2,14,1
3,3,10,1
3,3,11,1
3,3,12,1
3,4,8,1
3,4,9,1
3,4,10,1
3,5,5,1
3,5,6,1
3,5,7,1
3,5,8,1
3,6,1,1
3,6,2,1
3,6,3,1
3,6,4,1
3,6,5,1
3,6,6,1
3,7,0,1
3,7,1,1
3,7,2,1
4,0,16,1
4,0,17,1
4,1,14,1
4,1,15,1
4,1,16,1
4,2,12,1
4,2,13,1
4,2,14,1
4,3,10,1
4,3,11,1
4,3,12,1
4,3,13,1
4,4,9,1
4,4,10,1
4,4,11,1
4,5,6,1
4,5,7,1
4,5,8,1
4,5,9,1
4,6,3,1
4,6,4,1
4,6,5,1
4,6,6,1
4,6,7,1
4,7,0,1
4,7,1,1
4,7,2,1
4,7,3,1
4,7,4,1
5,0,16,1
5,0,17,1
5,1,14,1
5,1,15,1
5,1,16,1
5,2,13,1
5,2,14,1
5,3,11,1
5,3,12,1
5,3,13,1
5,4,9,1
5,4,10,1
5,4,11,1
5,5,7,1
5,5,8,1
5,5,9,1
5,5,10,1
5,6,4,1
5,6,5,1
5,6,6,1
5,6,7,1
5,6,8,1
5,7,0,1
5,7,1,1
5,7,2,1
5,7,3,1
5,7,4,1
5,7,5,1
5,8,0,1
5,8,1,1
6,0,16,1
6,0,17,1
6,0,18,1
6,1,15,1
6,1,16,1
6,2,13,1
6,2,14,1
6,2,15,1
6,3,12,1
6,3,13,1
6,4,10,1
6,4,11,1
6,4,12,1
6,5,8,1
6,5,9,1
6,5,10,1
6,6,5,1
6,6,6,1
6,6,7,1
6,6,8,1
6,7,2,1
6,7,3,1
6,7,4,1
6,7,5,1
6,7,6,1
6,8,0,1
6,8,1,1
6,8,2,1
7,0,16,1
7,0,17,1
7,0,18,1
7,1,15,1
7,1,16,1
7,1,17,1
7,2,14,1
7,2,15,1
7,3,12,1
7,3,13,1
7,3,14,1
7,4,10,1
7,4,11,1
7,4,12,1
7,5,9,1
7,5,10,1
7,5,11,1
7,6,6,1
7,6,7,1
7,6,8,1
7,6,9,1
7,7,3,1
7,7,4,1
7,7,5,1
7,7,6,1
7,8,0,1
7,8,1,1
7,8,2,1
7,8,3,1
8,0,17,1
8,0,18,1
8,1,15,1
8,1,16,1
8,1,17,1
8,2,14,1
8,2,15,1
8,3,12,1
8,3,13,1
8,3,14,1
8,4,11,1
8,4,12,1
8,5,9,1
8,5,10,1
8,5,11,1
8,6,7,1
8,6,8,1
8,6,9,1
8,7,4,1
8,7,5,1
8,7,6,1
8,7,7,1
8,8,0,1
8,8,1,1
8,8,2,1
8,8,3,1
8,8,4,1
9,0,17,1
9,0,18,1
9,1,16,1
9,1,17,1
9,2,14,1
9,2,15,1
9,3,13,1
9,3,14,1
9,4,11,1
9,4,12,1
9,4,13,1
9,5,9,1
9,5,10,1
9,5,11,1
9,6,7,1
9,6,8,1
9,6,9,1
9,7,5,1
9,7,6,1
9,7,7,1
9,8,0,1
9,8,1,1
9,8,2,1
9,8,3,1
9,8,4,1
9,8,5,1
9,9,0,1
10,0,17,1
10,0,18,1
10,1,16,1
10,1,17,1
10,2,14,1
10,2,15,1
10,3,13,1
10,3,14,1
10,4,11,1
10,4,12,1
10,4,13,1
10,5,9,1
10,5,10,1
10,5,11,1
10,6,7,1
10,6,8,1
10,6,9,1
10,7,5,1
10,7,6,1
10,7,7,1
10,8,0,1
10,8,1,1
10,8,2,1
10,8,3,1
10,8,4,1
10,8,5,1
10,9,0,1
11,0,17,1
11,0,18,1
11,1,16,1
11,1,17,1
11,2,14,1
11,2,15,1
11,3,13,1
11,3,14,1
11,4,11,1
11,4,12,1
11,4,13,1
11,5,10,1
11,5,11,1
11,6,8,1
11,6,9,1
11,7,5,1
11,7,6,1
11,7,7,1
11,7,8,1
11,8,0,1
11,8,1,1
11,8,2,1
11,8,3,1
11,8,4,1
11,8,5,1
11,9,0,1
12,0,17,1
12,0,18,1
12,1,16,1
12,1,17,1
12,2,14,1
12,2,15,1
12,3,13,1
12,3,14,1
12,4,11,1
12,4,12,1
12,4,13,1
12,5,10,1
12,5,11,1
12,6,8,1
12,6,9,1
12,7,5,1
12,7,6,1
12,7,7,1
12,8,1,1
12,8,2,1
12,8,3,1
12,8,4,1
12,8,5,1
12,9,0,1
12,9,1,1
13,0,17,1
13,0,18,1
13,1,15,1
13,1,16,1
13,1,17,1
13,2,14,1
13,2,15,1
13,3,13,1
13,3,14,1
13,4,11,1
13,4,12,1
13,4,13,1
13,5,10,1
13,5,11,1
13,6,7,1
13,6,8,1
13,6,9,1
13,7,5,1
13,7,6,1
13,7,7,1
13,8,0,1
13,8,1,1
13,8,2,1
13,8,3,1
13,8,4,1
13,8,5,1
14,0,17,1
14,1,15,1
14,1,16,1
14,2,14,1
14,2,15,1
14,3,13,1
14,3,14,1
14,4,11,1
14,4,12,1
14,5,9,1
14,5,10,1
14,5,11,1
14,6,7,1
14,6,8,1
14,6,9,1
14,7,4,1
14,7,5,1
14,7,6,1
14,7,7,1
14,8,0,1
14,8,1,1
14,8,2,1
14,8,3,1
14,8,4,1
15,0,16,1
15,0,17,1
15,1,15,1
15,1,16,1
15,2,14,1
15,2,15,1
15,3,12,1
15,3,13,1
15,3,14,1
15,4,11,1
15,4,12,1
15,5,9,1
15,5,10,1
15,6,7,1
15,6,8,1
15,6,9,1
15,7,5,1
15,7,6,1
15,7,7,1
15,8,0,1
15,8,1,1
15,8,2,1
15,8,3,1
15,8,4,1
16,0,16,1
16,0,17,1
16,1,15,1
16,2,14,1
16,3,12,1
16,3,13,1
16,4,11,1
16,5,9,1
16,5,10,1
16,7,4,1
16,7,5,1
16,8,0,1
16,8,1,1
16,8,2,1
16,8,3,1
17,0,16,1
17,0,17,1
17,1,15,1
17,2,14,1
17,3,12,1
17,3,13,1
17,4,10,1
17,4,11,1
17,5,8,1
17,5,9,1
17,6,6,1
17,6,7,1
17,6,8,1
17,7,1,1
17,7,2,1
17,7,3,1
17,7,5,1
17,7,6,1
17,8,0,1
17,8,1,1
18,1,14,1
18,1,15,1
18,3,12,1
18,5,9,1
18,7,5,1
